smiles
C1N2CN3CN1CN(C2)C3
CCNC(=O)NC(=O)C(=O)O
CN(C)C(=N)N
CN(C)C=O
CN(CCCN)CCCN
COCCO
C1OCOCO1
CC(C)N1C(=O)CNC1=O
COCCOCCO
CP(=O)(O)O
CN(C(=N)N)[N+](=O)[O-]
CN1CCCC1=O
CCN(CC)C(=N)N
CN1CCCC1
CCC12COCN1COC2
COP(=O)(O)OC
CC(C)CNC(=O)N1CCNC1=O
CN(C)C(=S)S
CC(C)O
CCC(=O)O
CCOC=O
CC(C)C(=O)O
CC(=O)O
CNC(=S)S
COP(O)OC
C=CCO
CCCCSCCO
CCCOC(=O)NCCCN(C)C
CC1=CC1
CCSC(=O)NCCCN(C)C
CCCCNCCCC
CCCCCC(=O)OCC
CN(C)C(=O)NC1CCCCCCC1
CC(Cl)(Cl)Cl
CCCCCCCC(=O)O
CCCCCCCCO
CCSC(=O)N1CCCCCC1
CC(C)(C)C1CCC(=O)CC1
CCCCCC
CC/C=C/CCCCCO
CCCN(CCC)C(=O)SCC
CCCC/C=C/CCCCO
CCCCCCCCC(=O)O
CCCCCCCC(=O)OC
CCCCCCCCN1CCCC1=O
CCCCC/C=C/C=C/C(=O)OCC
C/C=C/C=C/CCCCCCCO
CCCCCCCCCC(=O)OC
CCCCCCCCSCCO
CCCCCCCCCC(=O)O
CCCCCCCCCC(=O)N(C)C
CCCCCCCCCCO
CCCCCCCCS
CCC/C=C\CCCCCCCO
CCCCCCCCCCCCO
CCOC(=O)C(CC(=O)O)CC(=O)O
COP(=O)(OC)OC=C(Cl)Cl
CCOP(=O)(N=C1SCS1)OCC
CCCCN(CC)C(=O)SCCC
CCSC(=O)N(CC(C)C)CC(C)C
CCCCCCCCCCCC(=O)O
CCCC/C=C\CCCCCCCCO
CCCCCCCCCCCCCCO
CCCCCC/C=C\CCCCCC=O
CCCC/C=C\CCCCCCCCCCO
CCCC/C=C\CCCCCCCCCC=O
CCCCCC/C=C\CCCCCCCC=O
CCCCNC(=O)OCC#CI
CCOP(=O)(OCC)SCS(=O)(=O)CC
CCOP(=O)(OCC)OP(=O)(OCC)OCC
CCCCCCCCCCCCN(CCCN)CCCN
CCCCCCCCCCCCN1CCCC1=O
CCCCCCCC/C=C\CCCCCCCC(=O)O
CCCCCCCCCCCCCC[N+](C)(C)C
CCCC/C=C\CCCCCCCCCCCC=O
CCC[Sn](CCC)(CCC)O[Sn](CCC)(CCC)CCC
CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC
CCCC[Sn](CCCC)(CCCC)OC(=O)/C=C\C(=O)O[Sn](CCCC)(CCCC)CCCC
